Model,Accuracy,Precision,Recall,Specificity,F1,Best_Params
RF,0.606816709,0.582851521,0.587664503,0.625188677,0.581329463,[{'n_estimators': 400}]
ADA,0.617104468,0.5828576,0.622071534,0.612395841,0.597434617,"[{'learning_rate': 0.3, 'n_estimators': 400}]"
XGB,0.648066035,0.628882818,0.619595985,0.67537831,0.620005199,"[{'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 100, 'subsample': 0.8}]"
